               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12129,            0.029576,                   0,                   0,                   0,                   0,                   0,             0.12019,            0.024509,                   0,              0.0946,              0.0006,              0.0006
                   1,             0.10774,            0.028512,                   0,           0.0011111,            0.083333,          0.00068522,          0.00013704,            0.087551,            0.022027,                   0,            0.088274,           0.0012743,           0.0012743
                   2,            0.094898,            0.027074,                   0,           0.0033333,             0.33333,             0.01047,            0.006407,             0.08242,            0.019357,                   0,            0.081921,           0.0019208,           0.0019208
                   3,            0.081146,            0.023743,                   0,           0.0033333,             0.41667,            0.013287,           0.0024258,            0.072813,            0.017754,                   0,             0.07554,           0.0025396,           0.0025396
                   4,            0.075293,            0.023063,                   0,           0.0027778,             0.83333,            0.059342,            0.013201,            0.062954,            0.015986,                   0,            0.069131,           0.0031307,           0.0031307
                   5,            0.071939,            0.022849,                   0,           0.0033333,                   1,            0.032455,            0.010414,            0.068408,            0.013628,                   0,            0.062694,           0.0036941,           0.0036941
                   6,             0.07007,            0.021445,                   0,             0.26205,                0.25,              0.2497,            0.069996,            0.060016,            0.012284,                   0,             0.05623,           0.0042298,           0.0042298
                   7,            0.066946,            0.019863,                   0,             0.22111,             0.33333,             0.23053,            0.074245,            0.059324,            0.011342,                   0,            0.049738,           0.0047377,           0.0047377
                   8,            0.070726,            0.017706,                   0,             0.59832,             0.74509,             0.71466,             0.20095,            0.053751,            0.010617,                   0,            0.043218,           0.0052179,           0.0052179
                   9,            0.066342,            0.017968,                   0,             0.46925,             0.66667,             0.57635,             0.20515,            0.061479,            0.010135,                   0,             0.03667,           0.0056704,           0.0056704
                  10,            0.061568,            0.019561,                   0,             0.10426,             0.91667,             0.51263,             0.15763,            0.061516,           0.0098102,                   0,            0.030095,           0.0060952,           0.0060952
                  11,            0.065339,            0.020721,                   0,             0.32579,             0.41667,             0.42004,             0.13487,            0.065856,           0.0088199,                   0,            0.023492,           0.0064923,           0.0064923
                  12,            0.060371,            0.019371,                   0,             0.20919,             0.66667,             0.23244,            0.094327,            0.067062,           0.0078712,                   0,            0.016862,           0.0068616,           0.0068616
                  13,            0.061527,             0.01896,                   0,             0.23934,             0.33333,             0.32614,             0.11034,            0.054783,            0.008097,                   0,            0.010203,           0.0072032,           0.0072032
                  14,            0.061385,             0.01993,                   0,             0.24682,             0.58333,             0.25264,            0.068029,             0.05991,           0.0077012,                   0,            0.007228,            0.007228,            0.007228
                  15,            0.056335,            0.018889,                   0,             0.43616,             0.90297,             0.48206,             0.14587,            0.052351,           0.0073795,                   0,            0.007228,            0.007228,            0.007228
                  16,            0.056399,            0.017679,                   0,             0.35347,                 0.5,             0.36071,             0.11393,            0.051545,           0.0070475,                   0,             0.00703,             0.00703,             0.00703
                  17,            0.056235,            0.016533,                   0,             0.43327,                0.75,             0.56283,             0.15475,            0.065671,           0.0066501,                   0,            0.006832,            0.006832,            0.006832
                  18,            0.055665,            0.017893,                   0,             0.58275,                0.75,             0.75196,             0.22018,            0.049366,           0.0062981,                   0,            0.006634,            0.006634,            0.006634
                  19,            0.047627,            0.015638,                   0,             0.51608,                0.75,             0.68782,             0.27282,            0.040798,             0.00665,                   0,            0.006436,            0.006436,            0.006436
                  20,            0.044609,            0.016176,                   0,             0.55973,             0.74209,             0.74107,             0.24348,            0.051186,           0.0061949,                   0,            0.006238,            0.006238,            0.006238
                  21,            0.043816,            0.014707,                   0,              0.6145,                0.75,             0.77298,             0.34728,            0.041732,           0.0061927,                   0,             0.00604,             0.00604,             0.00604
                  22,            0.044135,            0.014462,                   0,              0.4532,                0.75,             0.50911,              0.1792,            0.049728,           0.0056965,                   0,            0.005842,            0.005842,            0.005842
                  23,            0.043956,            0.016521,                   0,             0.63818,             0.83333,             0.74936,             0.28541,            0.043993,           0.0055846,                   0,            0.005644,            0.005644,            0.005644
                  24,            0.040921,            0.014302,                   0,             0.71801,             0.91667,              0.9049,             0.40939,             0.04694,           0.0055782,                   0,            0.005446,            0.005446,            0.005446
                  25,            0.039027,            0.013488,                   0,             0.97716,                0.75,             0.89991,             0.37094,             0.04368,           0.0051955,                   0,            0.005248,            0.005248,            0.005248
                  26,             0.04533,            0.012623,                   0,             0.95888,                0.75,              0.9246,             0.40598,            0.050212,           0.0049836,                   0,             0.00505,             0.00505,             0.00505
